"Call Tree - Method";"Time [%]";"Time";"Invocations";
"         Utils.ArrayLista.<init>()";"1.8730295E-4";"10";"2"
"        Utils.Calle_Stream.leer_calles(Utils.ArrayLista)";"1.0862073";"57992";"2"
"         Utils.Calle_Stream.toCalle(String, Utils.ArrayLista)";"0.7638402";"40781";"92"
"          Self time";"0.51204884";"27338";"92"
"          Utils.ArrayLista.buscar(Object)";"0.18187118";"9710";"184"
"           Self time";"0.12178438";"6502";"184"
"           Sistema.Tipos.Punto.equals(Object)";"0.06006806";"3207";"2380"
"          Sistema.Tipos.Punto.equals(Object)";"0.059393767";"3171";"2380"
"          Sistema.Tipos.Punto.<init>(long, float, float)";"0.0059187734";"316";"184"
"          Sistema.Tipos.Calle.<init>(long, Sistema.Tipos.Punto, Sistema.Tipos.Punto, String, int, int)";"0.0045327316";"242";"92"
"         Utils.ArrayLista.add(Object)";"0.14304326";"7637";"92"
"          Self time";"0.09486895";"5065";"92"
"          Sistema.Tipos.Calle.equals(Object)";"0.04815559";"2571";"2070"
"         Utils.Map_Log.log_normal(String)";"0.10749317";"5739";"4"
"         Utils.Input_Stream.read()";"0.055235643";"2949";"94"
"         Self time";"0.016089324";"859";"2"
"         Utils.Input_Stream.filename()";"3.1841503E-4";"17";"4"
"         Utils.ArrayLista.<init>()";"1.1238177E-4";"6";"2"
"        Utils.Punto_Stream.<init>(String)";"0.30749527";"16417";"2"
